,id,X,NEST,av.food,av.trip.length,av.col.int,num.trips,SEASON,nest.seas,TYPE,CHICK,OUTCOME,hatch.seasday,cr.seasday,fail.seasday,cr.age,fail.age,last.day.2.chx,first.day.2.chx,sex,Parent_Age,Epy,Parent_Sex,weight.slope40,flipper.slope40,tibiotar.slope35,foot.slope35,bill.slopeall,CH_B,CH_S,mean.N,mean.C,cr.mass,resid.hatch,cr.flip,cr.tib,cr.foot,cr.bill,did.cr
49,1314-44554-A,64,44554,NA,NA,NA,NA,1314,1314-44554,KA,A,C,50,67,150,17,0,65,150,F,13,0.08,f,84.11764706,4.713235294,2.514705882,0.896480331,0.180183824,0,0,10.52,-25.69,1311.647059,3,99.66029412,102.6558824,80.0952381,15.00944853,1
50,1314-45124-A,66,45124,NA,NA,NA,NA,1314,1314-45124,KA,A,C,49,68,150,19,0,150,150,M,13,0.15,u,64.6953125,4.2765625,3.397297297,1.54,0.16459725,0,0,11.84,-25.045,1365.914063,0,112.1703125,110.4,87.86,14.65813079,1
51,1314-45124-B,67,45124,NA,NA,NA,NA,1314,1314-45124,KA,B,C,50,68,150,18,0,150,50,M,13,0.15,u,4.2,0.9,1.84,1,0.1204,1,0,10.63,-26.16,349.8,3,62.93333333,79.96,64,12.4976,1
52,1314-45151-S,68,45151,NA,NA,NA,NA,1314,1314-45151,KA,S,C,47,68,150,21,0,150,150,F,13,0.15,u,50.5,4.46,2.34,1.3,0.1334,0,1,10.64,-25.16,943,-2,111.06,109.74,83.8,15.9324,1
53,1314-45846-A,69,45846,NA,NA,NA,NA,1314,1314-45846,KA,A,C,53,68,150,15,0,58,150,F,9,0.22,f,62.12121212,4.049242424,2.037878788,1.060606061,0.190909091,0,0,NA,NA,1177.272727,6,105.5045455,104.3727273,84.23636364,14.59054545,1
54,1314-46183-A,70,46183,NA,NA,NA,NA,1314,1314-46183,KA,A,C,41,62,150,21,0,59,150,F,11,0.09,f,52.28887135,3.375690608,2.233502538,1.157360406,0.119112567,0,0,10.955,-25.365,1139.700079,-8,111.3093923,104.8502538,86.73604061,14.83217987,1
55,1314-46604-S,72,46604,NA,NA,NA,NA,1314,1314-46604,KA,S,C,47,71,150,24,0,150,150,M,11,0.09,f,56.27828054,3.78959276,2.979695431,1.949238579,0.134969905,0,1,10.48,-25.375,1004.721719,-2,103.8104072,109.4492386,84.37309645,14.45679708,1
56,1314-46641-S,73,46641,NA,NA,NA,NA,1314,1314-46641,KA,S,C,48,65,150,17,0,150,150,M,11,0.09,m,53.73994148,3.118873446,2.486853265,0.197802198,0.131613021,0,1,11.39,-25.555,1690.828456,1,126.0727871,117.4308736,99.28571429,14.64941843,1
57,1314-46678-A,74,46678,NA,NA,NA,NA,1314,1314-46678,KA,A,C,49,74,150,25,0,150,150,F,11,0.09,f,73.99856938,4.228898426,2.67032967,1.384615385,0.169481865,0,0,NA,NA,1352.753934,0,117.3705293,115.8901099,84.46153846,15.67910881,1
58,1314-46792-S,75,46792,NA,NA,NA,NA,1314,1314-46792,KA,S,C,52,71,150,19,0,150,150,M,11,0.09,f,49.50118363,3.734190057,1.836376404,0.939606742,0.223331079,0,1,11.13,-25.355,1706.577612,5,127.2847481,118.9599719,91.33286517,15.57556645,1
59,1314-47594-A,76,47594,NA,NA,NA,NA,1314,1314-47594,KA,A,C,48,70,150,22,0,150,150,M,10,0.2,m,49.59751773,3.840659341,3.320543294,2.053598775,0.26600726,0,0,11.26,-25.08,1182.996454,-1,106.8791209,113.6689304,90.07503828,13.65949183,1
60,1314-47594-B,77,47594,NA,NA,NA,NA,1314,1314-47594,KA,B,C,49,70,150,21,0,150,49,M,10,0.2,m,21.90514184,2.546703297,2.809168081,1.184931507,0.287774823,1,0,10.79,-25.29,762.7216312,2,88.6043956,100.5382003,79.81506849,13.30253546,1
61,1314-47679-A,78,47679,NA,NA,NA,NA,1314,1314-47679,KA,A,C,47,65,150,18,0,150,150,F,10,0.2,f,57.2147651,3.6936721,2.765822785,1.759493671,0.1771093,0,0,11.44,-25.375,1150.167785,-2,95.92809204,102.1867089,79.71202532,13.81396932,1
62,1314-47679-B,79,47679,NA,NA,NA,NA,1314,1314-47679,KA,B,C,49,65,150,16,0,150,49,M,10,0.2,f,12.1835443,2.164556962,2.037974684,1.386075949,0.147721519,1,0,10.36,-26.49,525.0158228,2,80.84177215,91.84810127,70.7056962,13.14661392,1
63,1314-48000-S,80,48000,NA,NA,NA,NA,1314,1314-48000,KA,S,C,51,68,150,17,0,150,150,F,10,0.1,m,17.95364892,2.785996055,1.710059172,1.124260355,0.163934911,0,1,10.53,-25.94,771.5483235,2,87.08481262,96.72781065,75.40236686,14.38940828,1
64,1314-48326-S,81,48326,NA,NA,NA,NA,1314,1314-48326,KA,S,C,53,68,150,15,0,150,150,M,9,0.22,m,22.23145072,2.452934662,1.337121212,0.666666667,0.118767507,0,1,10.43,-26.105,1081.866002,6,93.9833887,103.1772727,82.4,14.08927171,1
65,1314-48391-S,82,48391,NA,NA,NA,NA,1314,1314-48391,KA,S,C,45,68,150,23,0,150,150,M,9,0.11,m,60.50764007,4.278098472,2.81426146,1.14,0.204034867,0,1,10.72,-25.47,1001.256367,-4,105.7317487,100.0118846,83.92,14.04964953,1
66,1314-48445-S,83,48445,NA,NA,NA,NA,1314,1314-48445,KA,S,C,52,73,150,21,0,150,150,M,9,0.22,m,15.57142857,3.748571429,1.76,0.702857143,0.125175131,0,1,10.63,-25.675,1613.428571,5,130.6914286,124.16,92.81714286,15.21391419,1
67,1314-48537-A,84,48537,NA,NA,NA,NA,1314,1314-48537,KA,A,C,55,76,150,21,0,68,150,M,9,0.22,f,49.77954972,3.656660413,3.287992495,1.1,0.193836773,0,0,10.57,-26.21,1019.765478,6,104.6772983,109.412758,80.43333333,13.58748593,1
68,1314-48611-S,86,48611,NA,NA,NA,NA,1314,1314-48611,KA,S,C,43,65,150,22,0,150,150,F,9,0.22,m,90.38337629,4.460051546,3.242837653,1.02,0.15171616,0,1,10.805,-25.31,1715.705541,-6,128.8466495,123.1828104,93.74,15.32759496,1
69,1314-48931-S,87,48931,NA,NA,NA,NA,1314,1314-48931,KA,S,C,47,68,150,21,0,150,150,F,8,0.25,m,61.01804124,3.788659794,2.550212164,1.585572843,0.192144182,0,1,10.65,-25.32,1625.927835,0,133.8453608,119.8373409,93.06082037,15.62368142,1
70,1314-48970-S,88,48970,NA,NA,NA,NA,1314,1314-48970,KA,S,C,51,68,150,17,0,150,150,F,8,0.13,f,69.7,5.36,4.06,1.6,0.293,0,1,10.36,-25.31,1239.9,2,117.62,114.52,91.2,14.821,1
71,1314-49554-S,89,49554,NA,NA,NA,NA,1314,1314-49554,KA,S,D,52,73,83,21,31,83,150,M,8,0.13,f,-8.125,1.5,1.125,0.125,0.045,0,1,10.19,-26.06,551.6666667,5,89.66666667,92.66666667,77,13.57,1
72,1314-49629-A,90,49629,NA,NA,NA,NA,1314,1314-49629,KA,A,C,54,65,150,11,0,65,150,M,8,0.25,f,38.90572391,3.383838384,2.020783373,0.519305019,0.149074074,0,0,10.68,-25.645,875.1313131,5,87.19393939,97.32853717,82.60810811,12.95111111,1
73,1314-49909-S,92,49909,NA,NA,NA,NA,1314,1314-49909,KA,S,D,52,45,81,NA,29,81,150,F,7,0,f,28.30291971,1.912408759,2.062043796,0.868852459,0.135437956,0,1,NA,NA,70.94890511,5,32.03284672,41.66423358,49,9.607335766,0
74,1314-49972-A,93,49972,NA,NA,NA,NA,1314,1314-49972,KA,A,C,42,65,150,23,0,52,150,M,7,0.29,m,57.39208633,4.34028777,2.889208633,1.16,0.099991948,0,0,11.09,-25.76,1279.928058,-7,118.3935252,112.0928058,88.68,14.48504026,1
75,1314-50054-A,96,50054,NA,NA,NA,NA,1314,1314-50054,KA,A,C,53,68,150,15,0,68,150,F,7,0.14,m,79.47695035,3.446808511,2.329457364,0.656804734,0.148758865,0,0,10.37,-25.435,965.8510638,6,94.59219858,97.22093023,80.41715976,13.17659574,1
76,1314-50328-S,98,50328,NA,NA,NA,NA,1314,1314-50328,KA,S,D,54,49,77,NA,23,77,150,F,7,0.14,m,8.947368421,1.671052632,1.592105263,1.394736842,0.093157895,0,1,11.07,-25.63,263.1578947,5,29.48684211,45.72368421,35.81578947,10.03052632,0
77,1314-51089-A,99,51089,NA,NA,NA,NA,1314,1314-51089,KA,A,C,51,64,150,13,0,64,150,F,6,0.17,f,85.9625323,5.843669251,2.108527132,1.297157623,0.228062016,0,0,10.35,-25.71,636.4922481,4,62.01937984,94.95348837,75.68217054,13.19511628,1
78,1314-51416-A,100,51416,NA,NA,NA,NA,1314,1314-51416,KA,A,C,50,65,150,15,0,65,150,M,6,0.17,f,83.8,3.52,2.8,1.64,0.1874,0,0,11.16,-25.73,759,1,75.6,86.2,67.7,11.921,1
79,1314-51481-A,102,51481,NA,NA,NA,NA,1314,1314-51481,KA,A,D,52,68,77,16,25,71,150,F,6,0.17,m,25.2293578,2.697247706,2.97706422,0.8,0.18059633,0,0,10.3,-26.09,488.7155963,3,72.49541284,85.62844037,73.8,12.58766055,1
80,1314-51481-B,103,51481,NA,NA,NA,NA,1314,1314-51481,KA,B,D,53,68,71,15,18,71,53,M,6,0.17,m,4.266055046,1.298165138,1.926605505,-4.02E-15,-0.030963303,1,0,10.14,-26.24,292.1100917,6,60.83027523,74.21100917,64,11.6483945,1
81,1314-62026-A,104,62026,NA,NA,NA,NA,1314,1314-62026,KA,A,D,56,40,74,NA,18,71,150,F,6,0.17,m,-27.5,2.25,1.75,0.75,-0.13,0,0,NA,NA,762.5,7,29.25,48.75,47.75,14.05,0
82,1314-62154-S,106,62154,NA,NA,NA,NA,1314,1314-62154,KA,S,D,57,73,74,16,17,74,150,F,6,0.17,u,-12.5,2.75,4.5,2.75,0.27,0,1,NA,NA,467.5,10,73.75,94.5,75.75,13.82,1
83,1314-62288-S,107,62288,NA,NA,NA,NA,1314,1314-62288,KA,S,C,53,71,150,18,0,150,150,F,5,0.2,m,42.72260274,3.293072824,2.743150685,1.379120879,0.209828767,0,1,10.53,-25.71,824.1678082,4,80.32326821,89.82945205,74.11538462,14.1734863,1
84,1314-69644-A,109,69644,NA,NA,NA,NA,1314,1314-69644,KA,A,C,53,68,150,15,0,150,150,F,4,0.25,f,34.71311475,4.098360656,3.18852459,1.967213115,0.174590164,0,0,10.19,-26.26,776.7622951,4,84.96721311,95.2704918,73.3442623,14.38180328,1
86,1314-70189-S,113,70189,NA,NA,NA,NA,1314,1314-70189,KA,S,C,50,68,150,18,0,150,150,M,4,0.25,m,54.73414356,4.664261299,2.57712305,1.749566724,0.149327142,0,1,10.95,-26.1,1024.618306,1,99.28940372,103.5303293,80.35095321,13.76938021,1
85,1314-7-A,111,7,0.364247275,27.93691919,30.68462121,11,1314,1314-7,WB,A,C,44,64,150,20,0,64,150,M,NA,NA,NA,122,5.108571429,2.954285714,1.14,0.192180495,0,0,11.96,-24.69,1650,-5,116.2285714,112.7809524,90.5,15.52076091,1
87,1314-9-A,115,9,0.324595127,66.36118056,4.815833333,4,1314,1314-9,WB,A,C,38,62,150,24,0,150,150,M,NA,NA,NA,107.404318,4.686947988,2.445534838,1.035328754,0.202192799,0,0,11.645,-25.27,2005.505397,-9,147.858685,132.0569185,97.04416094,16.07554201,1
88,1314-9-B,116,9,0.162297564,66.36118056,4.815833333,4,1314,1314-9,WB,B,C,39,62,150,23,0,150,39,M,NA,NA,NA,48.48837209,4.744186047,3.209302326,2.104651163,0.168023256,1,0,NA,NA,1180.775194,-10,131.0542636,124.7131783,97.85658915,15.35011628,1
